team,R16,QF,SF,Final,Champion
Spain,100.0,100.0,100.0,100.0,51.9
Argentina,100.0,100.0,100.0,100.0,48.1
France,100.0,100.0,100.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0
Canada,100.0,0.0,0.0,0.0,0.0
Netherlands,0.0,0.0,0.0,0.0,0.0
Paraguay,100.0,0.0,0.0,0.0,0.0
Morocco,100.0,100.0,0.0,0.0,0.0
Portugal,100.0,0.0,0.0,0.0,0.0
Croatia,0.0,0.0,0.0,0.0,0.0
Austria,0.0,0.0,0.0,0.0,0.0
United States,100.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Belgium,100.0,100.0,0.0,0.0,0.0
Sweden,0.0,0.0,0.0,0.0,0.0
Senegal,0.0,0.0,0.0,0.0,0.0
Brazil,100.0,0.0,0.0,0.0,0.0
Ivory Coast,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
Mexico,100.0,0.0,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0,0.0,0.0
England,100.0,100.0,100.0,0.0,0.0
Norway,100.0,100.0,0.0,0.0,0.0
DR Congo,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0
Egypt,100.0,0.0,0.0,0.0,0.0
Switzerland,100.0,100.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0
Colombia,100.0,0.0,0.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0,0.0
